word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
the,0.004782304174752133,0.009212443812113934,-0.00876680852766768,-0.006689860427250353,-0.0065105744429283866,-0.009706506345117882,0.010517576257310592,-0.008272347815301704,0.0036726351163789235,-0.01390712365121944,0.004440866062568321,0.006399822956793419,0.01599880457564777,-0.0059705573619491465,-0.007302015604043643,0.007429784078004063,0.0066741256329862836,-0.0013864298906478907,-0.001395930308982199,0.00946409713133429,-0.0084809838947966,0.0027689028080253595,0.00845827658561004,0.008061171990404526,0.00477882433675116,-0.008136127393419165,-0.010196632505122627,-0.003894093721945404,0.006450578145520173,0.0028430078219151968,-0.0055599324220623044,0.004498171858584251,-0.00441119891184828,-0.005977962875847648,0.01158127309729386,-0.0007864359320080188,0.013502041530119612,0.013190370795426402,0.022321619869187112,0.0052629086234386195,-0.006764326083860698,-0.0005082401366468936,0.013402980706932006,-0.015207757407122657,0.008431985181871073,-4.866579651654891e-05,0.00031006834657642255,-0.0025813517583566556,-0.013882012454862565,-0.0030291496039319904
cat,-0.007555460618124143,0.0076010534440395135,0.001299716884208357,-0.003257609894642489,0.00912683182392119,-0.007741450893469853,-0.008001999570243404,-0.005825675964403897,-0.0011125827340123344,-0.011109558685118441,-0.0014308201059197846,-0.0055390114855900915,0.004532700552046192,0.008821438653475414,-0.008522162475963383,-0.001763474379861272,-0.00752420785478863,0.009299818051594497,-0.003524425828835821,0.007705786092312052,0.005260330986337108,-0.003428335764344862,-0.007725099958522122,0.001956515934032826,0.0029233758846637574,-0.008654598805431374,0.005184609670517787,-0.0019697639690635003,0.005733164766606959,-0.010585629181275338,-0.001748543659067161,0.008171230623310904,0.0019203795416289908,0.0072075834619026325,5.722597694333267e-05,0.0005858735061914358,-0.008281145468407282,-0.00871627326828695,0.01159284168588098,0.005024000858840577,0.009614675640521705,0.0003300591036843909,0.004905069186248692,-0.007814088960605106,0.009250101099566513,0.006798724753974205,0.005658529853158187,0.006185739773049125,-0.004330773883138469,-0.0050343339976121285
sat,0.007969903017601402,0.006933530821697885,0.004984464347015188,0.005042364157778441,-0.0024132794756082316,-0.0027346855970035197,-0.0057301282336060496,0.001346823048059219,0.007512794688809768,-0.007241840947660201,0.00881785973250831,-0.0028334056163335825,0.012173283222034113,0.0021840019601462412,-0.002985066218599941,0.005532196594468377,0.005503745775285774,0.009051010853604338,-0.009155573335012516,0.005859300484828704,-0.0035046625851124285,0.004837967927337468,0.002205483502074827,-0.00034862071143204983,-0.009912799138427401,-0.010623296304867786,0.0010923513802833613,0.003510831122708654,0.000922537992435216,-0.010087961705917522,0.005433145580222385,-0.006187360915117991,0.007540153128502524,-0.0055586405896640755,-0.00827345265270303,-0.00487140721511204,0.009377520055303158,-0.008274328992680305,0.00993988653473154,0.0055613084574740335,0.0004576346094778744,0.00018307976141040323,-0.005424916307761793,0.0041823470737748095,-0.0018563007980917695,0.006623152864314425,-0.007383221012444888,-0.007799142644702971,0.0030182541341766925,-0.01085174527144851
on,-0.004401719606367972,0.00428962825633134,-0.0046394865303219955,0.00928838415755612,-0.0011048475423091884,-0.00048449223195138046,-0.00017029405724373678,-0.002982797522000883,-0.007648015568563342,-0.00312185996716916,0.0003093626518992158,0.002937896928195503,-0.0039432414914685665,0.0065129520518711235,-0.008386941013722608,-0.0026177383209768316,-0.0016922297698095735,-0.0030698148846272275,-0.004453826856863218,0.004314197920332591,-0.000502934052381276,-0.004226899602590501,-0.0019900320715010716,0.005024265348718031,0.0027900026233866363,0.0057154307958885925,-0.005638147021471142,0.005296813092906826,-0.0072560208473401895,-0.010626599562267152,6.55413335683249e-05,-0.007407179101533372,-0.009817475028260447,-0.0005288997710509841,0.005518542919319985,-0.008148589879664759,0.008569768597782548,0.004059906011880942,0.010968723311621745,0.0018652886182058401,-0.0004232465987836991,-0.004602108143006588,0.004455847902708533,-0.002832724435790931,-0.0018243162434750872,0.0017151359802084225,-0.003952226224141909,0.004982988298439339,-0.011040993252104666,-0.0021585127532401847
mat,-0.010315062277493865,0.0014946523783376546,-0.004177596412500685,0.008491446773716863,0.004540965214978625,-0.010117600241399525,-0.0038050670349426014,-0.010345139279283369,-0.009100518018500184,-0.0010374169387800207,0.007726219911360537,0.008116538625743474,-0.0003312808831524751,-0.0042534935486242265,0.009459458914188604,0.003911418370697327,-0.0017706712675872754,0.0004472752041071678,0.008082474916199938,0.00035445110391013303,0.004437604167148553,0.002635955263429609,0.006548902134035587,0.01035544889984871,0.0050852886949715225,-0.005766904415476876,0.00777412127612316,0.004917938680114878,0.0031659605143132415,-0.0013724876117926935,0.008630638401294011,0.009044464595767349,0.00449300203221707,0.0017351329467778349,0.002825279319287292,-0.005474677588643252,0.0023555445023977833,0.007087976696902978,0.0034981021698561555,0.010851000425687252,0.005863818349338184,-0.003392038248771844,-0.0014912984083499336,-0.009185688388894307,0.009147795517372046,-0.006679945305401931,-0.008328461946407628,-0.004041848093407322,-0.007964693578192586,-0.00317235336868554
dog,-0.009120946351755947,-0.002505592818730173,-0.008755783783062262,0.010227409722832828,-0.005442220949627468,-0.011618017511969968,0.0032298656157827197,-0.007990578810587174,-0.0033959120309843193,-0.006321659851311787,0.009936359560885753,0.010187446888824241,-0.0012904272887255632,-0.008912232073004485,0.00047427827581285017,0.01044069741376749,0.008610455216340487,-0.0051920352722740724,0.0019809880230819065,0.010314014259158373,-0.003172598760488347,0.006197929191130797,0.008325198264889184,0.003279336353858579,-0.0032139112806053864,0.0004683569942737409,0.005230370174937044,-0.007483840972180916,-0.008778245419522244,-0.007523417452183019,-0.009094019529119418,-0.0026809234152425023,0.00995347812042158,0.0034676008185703586,-0.009445446980577726,0.0006076808334758946,-0.0024564223705804767,0.001344717975346544,0.002952650241612952,0.010510846700081976,0.008451117906884839,-0.007851927410806042,0.0096900654356534,-0.008720105826387603,0.004263844832564421,-0.005433927366787909,-0.00722246708820293,0.0011964557144377812,-0.00465574323157253,-0.004574184957458991
ran,0.0021294037972992017,-0.003880982598747039,0.001637763103711686,-0.004942909796007989,-0.006120430021709256,0.0013390332664312303,0.010160395060367677,0.005645144459578681,0.00826601265566603,-0.00711385227521513,3.7199527282384084e-05,0.0026148092452006988,0.00243492752035843,-0.0018478628823187292,-0.002099270155087323,-0.005014584998265325,-0.008492766658389661,0.005600151561442934,0.006813256631989421,0.0013421748989226182,-0.002269594514768646,-0.010776291291653924,0.008442369915123328,0.00232971874433566,-0.008918473024594935,-0.012078657534892292,-0.007993598823616482,-0.0016132637090009421,-0.0058808418333924795,-0.006824696398590384,0.0007948766104569905,0.008942872075178842,-0.0021103350916456226,0.004375616656221881,-0.007187025955210031,-0.009297460930569252,-0.00822226321757017,-0.0015497472414980353,-0.002610887080204095,0.009795401317625197,-0.0042904713626067134,0.0009516377928275259,0.008639798720474809,-0.007624672879086053,-0.0012015229027006284,-0.006384402431846143,-0.0021166781133456006,0.0042208677200125545,-0.009238785465286413,0.00913268409739081
in,-0.00135533577799216,-0.0073889523450008775,0.0058595497750359325,0.005305179619384078,0.007034323832511163,0.002513190365229088,0.008132175955258655,-0.005474638355229,-0.010289744459362558,0.005110568823888146,0.007005322149656379,0.0007978690713574291,0.006851283807083235,0.006971897036329859,-0.002853590322503724,-0.005475535486707106,0.0056107777990797485,-0.007970077389966615,0.0042011138126059645,-0.001055756680444148,0.008013984613266103,0.001488369461970567,-0.0013662846940614615,0.0037889295212963398,0.001831122685954169,-0.011127918999727484,-0.0062803473577365265,-0.0021664603061690626,0.005978664061089495,-0.01123021505300056,-0.001909302877883069,-0.005849295384819454,-0.00016311329183847558,-0.00672055874700338,-0.0007890842559024276,-0.0030952842024354276,0.003965971453537901,0.0043289134020743705,0.009456981698695308,0.01440806316920647,-0.002780249752762399,0.00043130405789688865,-0.006869036966458705,-0.008957274433908615,0.008255789636195289,0.00155703761566286,-0.000918676626187179,0.00035533280279696023,-0.007965175136852238,0.0009054972419713156
park,0.005535096049121834,0.00504791941904834,-3.458318647828333e-05,-0.003454833710127569,-0.0013272820379879604,0.0023900127976699977,0.005753747995776233,-0.0020830130253656483,0.0034876246983321056,0.004686871182148203,-0.0014790599239490226,-0.007054462607728803,0.010563390410144924,0.0024256708324640964,0.0055582531185922116,0.0019728853093879126,-0.004025998669954593,3.1604902001292964e-05,-0.0067510792054678226,0.007067258020698606,-0.003979204200712073,0.006474113031087867,0.00618050290209533,0.0014093621106378183,0.006760549641429449,0.006874648366911163,-0.007660903512779562,0.00955965659493199,-0.007580547913629909,-0.0006972345933004026,-0.0032630117103840117,-0.0022928440949922173,-0.00947438771102512,0.009187699049210336,0.0067398145395600444,-0.0007666589395784052,-0.008680967581450979,0.003022125188798923,-0.006003627599709129,-0.0019092501403452774,0.006965549021233758,-0.0005210421208200781,-0.006051648103412149,-0.008932038326572272,0.007333323997909281,-0.002741602188938518,-0.0049537924188130635,-0.0005567900349054246,-0.007643757846430066,-0.0022370598397240577
cats,0.004224483495749506,-0.00025552650975828306,-0.0068648651628480314,0.0034398389121199,0.0019272263737465736,-0.0017253750401971801,0.0027933721245704817,-0.0055086869234666795,-0.004320493951621013,-0.0009363068521217676,0.010584892153195918,0.007839525861020638,0.010613543852343725,0.00027914502032516707,-0.007493652095923319,0.0008085529776582188,0.0035108954955766596,-0.0033380394368683537,-0.00944473329365224,0.003189455959465974,-0.00923963643452606,-0.010420008096939838,0.009254760978896997,-0.0008954420200926366,0.004616780060899302,-0.0073695922162818235,0.005712233069567116,0.009436730676751454,0.0031918680724947277,-0.008333596009050407,-0.004081376512300593,0.007989460877297138,0.0011312720952531298,-0.006428844353591396,0.005669721005813255,0.0066245137474783625,0.010390635103464945,0.00661115087113305,-0.005502292265885561,-0.007678074838677946,0.008010452646932826,-0.0006594949050142752,0.00837989871116148,0.007586246177810702,0.005711869991861116,0.00346548975077034,-0.00762101054728361,0.007573697993867003,-0.0046040496632009575,0.009319355496445731
